Date,Not indexed,Indexed,Impressions
2025-11-21,,,17
2025-11-22,18,16,10
2025-11-23,18,16,12
2025-11-24,18,16,22
2025-11-25,18,16,9
2025-11-26,18,16,16
2025-11-27,18,16,8
2025-11-28,18,16,9
2025-11-29,18,16,10
2025-11-30,18,16,18
2025-12-01,18,16,13
2025-12-02,18,16,21
2025-12-03,18,16,16
2025-12-04,18,16,12
2025-12-05,18,16,10
2025-12-06,18,16,13
2025-12-07,18,16,11
2025-12-08,18,16,16
2025-12-09,18,16,9
2025-12-10,18,16,14
2025-12-11,18,16,8
2025-12-12,18,16,6
2025-12-13,18,16,11
2025-12-14,18,16,10
2025-12-15,18,16,13
2025-12-16,18,16,15
2025-12-17,18,16,10
2025-12-18,18,16,4
2025-12-19,18,16,8
2025-12-20,18,16,2
2025-12-21,18,16,10
2025-12-22,18,16,4
2025-12-23,18,16,7
2025-12-24,19,15,11
2025-12-25,19,15,9
2025-12-26,19,15,10
2025-12-27,19,15,10
2025-12-28,19,15,4
2025-12-29,19,15,6
2025-12-30,19,15,9
2025-12-31,19,15,6
2026-01-01,19,15,16
2026-01-02,19,15,6
2026-01-03,19,15,8
2026-01-04,19,15,9
2026-01-05,19,15,8
2026-01-06,19,15,13
2026-01-07,19,15,10
2026-01-08,19,15,12
2026-01-09,19,15,15
2026-01-10,19,15,31
2026-01-11,19,15,15
2026-01-12,19,15,14
2026-01-13,19,15,14
2026-01-14,20,14,9
2026-01-15,20,14,13
2026-01-16,20,14,15
2026-01-17,20,14,10
2026-01-18,20,14,7
2026-01-19,20,14,8
2026-01-20,20,14,14
2026-01-21,21,13,6
2026-01-22,21,13,6
2026-01-23,21,13,10
2026-01-24,21,13,4
2026-01-25,22,12,9
2026-01-26,22,12,13
2026-01-27,22,12,14
2026-01-28,22,12,21
2026-01-29,22,12,13
2026-01-30,22,12,17
2026-01-31,22,12,10
2026-02-01,24,12,12
2026-02-02,24,12,14
2026-02-03,24,12,7
2026-02-04,27,9,15
2026-02-05,27,9,4
2026-02-06,27,9,7
2026-02-07,27,9,7
2026-02-08,29,7,5
2026-02-09,29,7,7
2026-02-10,29,7,6
2026-02-11,30,7,15
2026-02-12,30,7,8
2026-02-13,30,7,1
2026-02-14,30,7,7
2026-02-15,30,7,13
2026-02-16,30,7,12
2026-02-17,30,7,8
